0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:55:51 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:55:56 +0100] "GET /Offers/rest/view HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:56:10 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:56:15 +0100] "GET /Offers/rest/view HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:56:29 +0100] "DELETE /Offers/rest/delete/0 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:57:22 +0100] "GET /Offers/rest/view HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:03:22 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:03:27 +0100] "GET /Offers/rest/view HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:23:57 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:24:38 +0100] "GET /Offers/rest/view HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:24:47 +0100] "GET /Offers/rest/view HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:24:50 +0100] "GET /Offers/rest/view HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:24:58 +0100] "GET /Offers/rest/view HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:25:07 +0100] "DELETE /Offers/rest/delete/0 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:25:11 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:25:18 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:25:36 +0100] "DELETE /Offers/rest/delete/0 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:25:45 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:25:49 +0100] "GET /Offers/rest/view HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:25:56 +0100] "GET /Offers/rest/view HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:26:07 +0100] "DELETE /Offers/rest/delete/0 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:26:09 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:29:20 +0100] "GET /Offers/rest/view HTTP/1.1" 500 4462
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:29:38 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:29:41 +0100] "GET /Offers/rest/view HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:30:38 +0100] "DELETE /Offers/rest/delete/0 HTTP/1.1" 500 4463
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:30:43 +0100] "DELETE /Offers/rest/delete/0 HTTP/1.1" 500 4463
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:30:46 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:30:50 +0100] "GET /Offers/rest/view HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:47:58 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
